feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV103	Filtered	yes	-0.0330585829675578	0.0127320449454653	16	5	0.0211212532105024	0.143832472442302
ASV110	Filtered	yes	-0.0319889468417373	0.0123185657227091	16	6	0.0211080555128869	0.143832472442302
ASV123	Filtered	yes	-0.0299488749939491	0.0120931341087322	16	4	0.0266473866689317	0.143832472442302
ASV125	Filtered	yes	-0.0230182676054457	0.00920206460403025	16	4	0.0253966837467432	0.143832472442302
ASV128	Filtered	yes	-0.0286045819947201	0.0110294139947724	16	5	0.0212450966923515	0.143832472442302
ASV151	Filtered	yes	-0.0268372577293916	0.0104869676512054	16	4	0.0227126071451647	0.143832472442302
ASV153	Filtered	yes	-0.0273421888365339	0.0106026243335211	16	4	0.0218597483993289	0.143832472442302
ASV166	Filtered	yes	-0.0299588144565135	0.011924973203621	16	5	0.0248695431650363	0.143832472442302
ASV176	Filtered	yes	-0.0314117587826402	0.0124521907332398	16	6	0.0243782413502886	0.143832472442302
ASV182	Filtered	yes	-0.0309342704159576	0.0125020479916134	16	8	0.026759762291505	0.143832472442302
ASV198	Filtered	yes	-0.0100797013406656	0.00396803738039907	16	4	0.0235597295857657	0.143832472442302
ASV208	Filtered	yes	-0.0205660030532159	0.00776825281053302	16	6	0.0191243774828927	0.143832472442302
ASV224	Filtered	yes	-0.0167996651514452	0.00681462562447051	16	4	0.0272331648477045	0.143832472442302
ASV246	Filtered	yes	-0.021223918248674	0.0084809014039825	16	4	0.0253412788036699	0.143832472442302
ASV258	Filtered	yes	-0.0258247677914891	0.00979772522514268	16	4	0.01956416806159	0.143832472442302
ASV277	Filtered	yes	-0.0176567845114023	0.00705384935657189	16	4	0.0253125419538529	0.143832472442302
ASV299	Filtered	yes	-0.0171643358736746	0.00670793593329784	16	4	0.0227256251397218	0.143832472442302
ASV301	Filtered	yes	-0.0192636928915477	0.00694929109716667	16	5	0.0149821054624178	0.143832472442302
ASV312	Filtered	yes	-0.0164135106555259	0.00626839464523258	16	4	0.0202367867953645	0.143832472442302
ASV322	Filtered	yes	-0.0150862172752614	0.00598383931411379	16	4	0.0244457426100719	0.143832472442302
ASV334	Filtered	yes	-0.0139169809842842	0.00547250192962815	16	4	0.0234298914034321	0.143832472442302
ASV350	Filtered	yes	-0.0146254639473467	0.00570319777093473	16	4	0.0224789886855368	0.143832472442302
ASV354	Filtered	yes	-0.0133964214937014	0.00529589333123154	16	4	0.024050218396383	0.143832472442302
ASV362	Filtered	yes	-0.014384047753359	0.00547248818155319	16	4	0.0198471448747922	0.143832472442302
ASV377	Filtered	yes	-0.0126198179519336	0.00507860145484137	16	4	0.0262200470499043	0.143832472442302
ASV384	Filtered	yes	-0.0119439598119399	0.00482855299420607	16	4	0.026797223502139	0.143832472442302
ASV391	Filtered	yes	-0.0123120960047232	0.00475752414525659	16	4	0.021476122498416	0.143832472442302
ASV394	Filtered	yes	-0.0131566886429187	0.00534525034443324	16	4	0.0274362519687628	0.143832472442302
ASV396	Filtered	yes	-0.0115510067551134	0.00466144777302538	16	4	0.0265720559716493	0.143832472442302
ASV397	Filtered	yes	-0.0154176533881532	0.00611102139321076	16	4	0.0243623547443474	0.143832472442302
ASV436	Filtered	yes	-0.0110523187711203	0.00443121345909182	16	4	0.0257537166728125	0.143832472442302
ASV445	Filtered	yes	-0.0110844152640349	0.00441370821347694	16	4	0.0249135407538585	0.143832472442302
ASV448	Filtered	yes	-0.0115870219026498	0.00443574160427069	16	4	0.0204851139696195	0.143832472442302
ASV463	Filtered	yes	-0.0133889893887194	0.00535665764371438	16	4	0.0254910589018336	0.143832472442302
ASV479	Filtered	yes	-0.0123882428950726	0.00497830130989253	16	4	0.0260411512374609	0.143832472442302
ASV491	Filtered	yes	-0.0110134750003719	0.00426793391032968	16	4	0.0217874975792924	0.143832472442302
ASV528	Filtered	yes	-0.00957508768696429	0.00368661784368911	16	4	0.0210896814678387	0.143832472442302
ASV553	Filtered	yes	-0.00958147965154546	0.00376813502040212	16	4	0.0234439854345385	0.143832472442302
ASV563	Filtered	yes	-0.00843295658305217	0.00335664185252929	16	4	0.0248674156268909	0.143832472442302
ASV608	Filtered	yes	-0.00766956567409462	0.00301926073614739	16	4	0.0235601991206473	0.143832472442302
ASV612	Filtered	yes	-0.00757586472711001	0.00302503421990935	16	4	0.0252515646347134	0.143832472442302
ASV642	Filtered	yes	-0.00754360158752189	0.00305567458572718	16	4	0.0270510654720918	0.143832472442302
ASV644	Filtered	yes	-0.00739161369136981	0.00295265536969881	16	4	0.0253009664759943	0.143832472442302
ASV646	Filtered	yes	-0.00864900155775553	0.0034893592959039	16	4	0.0265366164540064	0.143832472442302
ASV700	Filtered	yes	-0.00727721579363784	0.00275305855306598	16	4	0.0192788805823237	0.143832472442302
ASV709	Filtered	yes	-0.00701081720478463	0.00274475110195898	16	4	0.022927009349086	0.143832472442302
ASV737	Filtered	yes	-0.00657573922851004	0.00251136647076925	16	4	0.0202393213874023	0.143832472442302
ASV829	Filtered	yes	-0.00542064476822254	0.00207546462609765	16	4	0.0205019136770108	0.143832472442302
ASV969	Filtered	yes	-0.0053534306238275	0.0020560112945927	16	4	0.020822972664641	0.143832472442302
ASV1050	Filtered	yes	-0.00382126854170029	0.00145430863500216	16	4	0.0198812010534248	0.143832472442302
ASV56	Filtered	yes	-0.0463645141650734	0.0191496116873045	16	4	0.0296410275433191	0.14651136471412
ASV84	Filtered	yes	-0.057205065240017	0.0235698442622145	16	11	0.0293088023764842	0.14651136471412
ASV181	Filtered	yes	-0.0206098535378019	0.00844946800492759	16	4	0.0286329207518035	0.14651136471412
ASV237	Filtered	yes	-0.0177767314730592	0.00727488438869373	16	4	0.028392489103211	0.14651136471412
ASV257	Filtered	yes	-0.0193491689373363	0.00798889373578243	16	4	0.0295935113911703	0.14651136471412
ASV260	Filtered	yes	-0.0227351040348482	0.0093735908690569	16	5	0.0293991045607246	0.14651136471412
ASV365	Filtered	yes	-0.012282374844317	0.0050296266235714	16	4	0.0284783527879168	0.14651136471412
ASV446	Filtered	yes	-0.0130536009685469	0.00536203446967361	16	4	0.0288949342098285	0.14651136471412
ASV50	Filtered	yes	-0.0808094141648315	0.0335088389867054	16	8	0.0301911807963306	0.148172319936601
ASV607	Filtered	yes	-0.00847772982884723	0.00352823777007155	16	4	0.0307024729638063	0.149620502048971
ASV31	Filtered	yes	-0.0561486071914286	0.0234499546119835	16	12	0.031201615089359	0.14967491359999
ASV149	Filtered	yes	-0.0238132843458077	0.0099426650028727	16	8	0.0311622789847973	0.14967491359999
ASV174	Filtered	yes	-0.0266084187205755	0.0111586577572537	16	4	0.0317951044786106	0.14967491359999
