Variant	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17
ASV130	0	0	171	584	0	0	0	294	0	0	0	0	0	0	0	0	0
ASV131	0	0	62	45	0	0	339	590	0	0	0	0	0	0	0	0	0
ASV132	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	0	0	0
ASV133	0	0	43	37	0	0	58	0	0	0	0	0	0	0	0	0	884
ASV135	0	0	31	48	0	0	291	628	0	0	0	0	0	0	0	0	0
ASV136	0	0	0	0	0	0	32	0	0	2	0	5	0	0	724	234	0
ASV137	0	0	31	33	533	0	0	0	0	0	53	77	4	0	160	105	0
ASV138	0	0	0	2	0	2	5	5	0	0	0	3	0	0	447	526	0
ASV139	0	0	0	0	866	0	80	44	0	0	0	0	0	0	0	0	0
ASV140	0	0	731	236	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV141	0	0	241	225	0	0	72	111	0	0	0	0	16	0	24	0	268
ASV142	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	943
ASV143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950
ASV144	0	0	11	2	0	0	0	0	0	0	3	148	0	2	662	121	0
ASV145	0	739	25	33	0	0	53	79	0	0	0	0	0	5	0	0	0
ASV146	0	0	10	22	165	0	354	373	0	0	0	0	0	0	4	0	3
ASV147	0	0	85	75	0	0	281	437	0	0	0	0	0	0	17	11	0
ASV149	0	0	9	42	3	5	539	287	0	0	6	0	0	0	0	4	7
ASV150	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0
ASV151	0	0	71	101	0	0	389	340	0	0	0	0	0	0	0	0	0
ASV152	0	0	0	16	187	0	247	428	0	0	0	0	0	0	22	0	0
ASV153	0	0	108	111	0	0	201	478	0	0	0	0	0	0	0	0	0
ASV154	0	0	0	0	0	0	3	15	0	0	8	16	0	0	57	46	753
ASV155	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	874	0
ASV156	0	0	21	0	0	0	280	578	0	0	0	0	0	0	0	0	0
ASV157	0	0	57	63	0	0	528	171	0	0	0	0	0	0	37	9	0
ASV158	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV159	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	846
ASV160	0	0	36	43	0	0	208	550	0	0	0	0	0	0	0	0	0
ASV161	0	0	4	0	0	0	248	575	0	0	0	0	0	0	0	0	0
ASV162	0	0	0	0	0	0	32	28	0	0	0	0	0	0	0	0	761
ASV164	0	0	249	452	0	0	62	38	0	0	0	0	0	0	0	0	0
ASV165	0	0	0	0	0	0	530	271	0	0	0	0	0	0	0	0	0
ASV166	0	0	315	220	0	0	108	129	0	0	6	0	0	0	0	0	0
ASV167	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	767
ASV168	0	0	19	39	0	0	342	364	0	0	0	0	0	0	0	0	0
ASV169	0	0	4	0	14	0	602	76	0	0	0	0	0	0	65	0	0
ASV170	0	0	0	0	4	4	0	0	0	0	27	82	0	0	0	644	0
ASV171	0	0	0	0	0	0	20	42	0	0	0	0	0	0	0	0	696
ASV172	0	0	0	12	0	0	0	0	0	0	0	0	0	0	577	161	0
ASV173	0	0	127	109	0	0	464	41	0	0	0	0	0	0	0	0	0
ASV174	0	0	77	313	0	0	139	206	0	0	0	0	0	0	0	0	0
ASV175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727
ASV176	0	0	383	250	0	0	0	16	0	0	10	24	0	0	0	23	0
ASV177	0	0	0	0	0	0	0	0	0	0	490	207	0	0	0	0	0
ASV178	0	0	0	0	0	0	0	687	0	0	0	4	0	0	0	0	0
ASV179	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	683
ASV180	0	0	0	25	0	0	306	352	0	0	0	0	0	0	0	0	0
ASV181	0	0	95	82	0	0	248	43	0	0	0	0	0	0	0	0	213
ASV182	0	4	48	43	5	0	36	48	0	0	0	0	0	0	447	45	0
ASV183	0	0	150	207	69	0	63	69	0	0	24	6	0	0	52	34	0
ASV184	0	0	68	57	0	0	231	240	0	0	0	0	0	0	52	23	0
ASV185	0	0	0	0	0	0	248	416	0	0	0	0	0	0	0	0	0
ASV186	0	203	110	77	0	0	130	138	0	0	0	0	0	0	0	0	0
ASV187	0	0	53	80	0	0	452	73	0	0	0	0	0	0	0	0	0
ASV188	0	0	21	27	0	0	284	299	0	0	0	0	0	0	26	0	0
ASV189	0	0	0	0	0	0	0	0	0	0	253	397	0	0	0	0	0
ASV190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
ASV191	0	0	0	295	0	0	245	106	0	0	0	0	0	0	0	0	0
ASV192	0	0	0	0	0	0	61	572	0	0	0	0	0	0	0	0	0
ASV193	0	0	41	56	0	0	149	250	0	0	0	0	0	0	82	52	0
ASV194	0	0	0	12	0	0	37	43	0	0	100	19	0	0	24	17	377
ASV195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628
ASV196	0	0	144	366	0	0	48	38	0	0	5	0	0	0	13	8	0
ASV197	0	0	0	6	0	0	288	325	0	0	0	0	0	0	0	0	0
ASV198	0	0	0	0	0	0	0	0	0	0	12	16	0	0	26	9	555
ASV199	0	0	292	324	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV200	0	0	543	72	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV201	0	0	9	0	0	0	176	430	0	0	0	0	0	0	0	0	0
ASV202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611
ASV203	0	0	355	0	0	0	210	43	0	0	0	0	0	0	0	0	0
ASV204	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV205	0	0	252	58	0	0	158	126	0	0	0	0	0	0	0	0	0
ASV207	0	0	0	0	0	0	121	469	0	0	0	0	0	0	0	0	0
ASV208	0	0	13	11	0	0	238	314	0	0	0	3	0	0	0	5	0
ASV209	0	0	300	270	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV210	0	0	0	0	0	0	110	458	0	0	0	0	0	0	4	0	0
ASV211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571
ASV212	0	0	101	80	172	0	85	127	0	0	0	0	0	0	0	0	0
ASV214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563
ASV216	0	0	0	0	0	0	36	522	0	0	0	0	0	0	0	0	0
ASV217	0	121	0	0	38	128	0	0	70	113	0	0	0	77	0	0	0
ASV218	0	0	26	25	0	0	199	252	0	0	0	0	0	0	42	0	0
ASV219	0	0	0	0	0	0	87	234	0	0	0	0	0	0	0	0	211
ASV220	0	0	296	232	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV221	0	0	0	493	0	0	0	37	0	0	0	0	0	0	0	0	0
ASV222	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	520
ASV223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524
ASV224	0	0	19	37	0	0	180	147	0	0	0	0	0	0	0	0	133
ASV225	0	0	229	227	0	0	26	25	0	0	0	0	0	0	0	0	0
ASV226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507
ASV227	0	382	34	32	55	0	0	0	0	0	0	0	0	0	0	0	0
ASV228	0	0	0	0	0	0	297	204	0	0	0	0	0	0	0	0	0
ASV230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
ASV231	0	0	0	0	0	0	73	54	0	0	0	47	0	0	34	49	228
ASV232	0	0	21	8	55	0	303	95	0	0	0	0	0	0	0	0	0
ASV233	0	0	0	0	174	282	0	26	0	0	0	0	0	0	0	0	0
ASV234	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0
ASV235	0	0	167	150	0	0	58	102	0	0	0	0	0	0	0	0	0
ASV236	0	0	0	0	0	0	52	425	0	0	0	0	0	0	0	0	0
ASV237	0	0	41	57	0	0	234	53	0	0	0	0	0	0	0	0	82
ASV238	0	0	0	12	0	0	0	0	0	0	54	398	0	0	0	0	0
ASV239	0	0	88	78	0	0	119	92	0	0	0	0	0	0	35	45	0
ASV240	0	0	0	0	0	0	329	126	0	0	0	0	0	0	0	0	0
ASV241	0	0	0	0	0	0	271	182	0	0	0	0	0	0	0	0	0
ASV242	0	0	55	66	0	0	102	183	0	0	0	0	0	0	29	12	0
ASV243	0	0	117	70	0	0	8	0	0	0	0	9	0	0	0	0	234
ASV244	0	0	0	0	0	0	125	313	0	0	0	0	0	0	0	0	0
ASV245	0	7	30	43	0	0	48	92	0	0	12	12	0	0	25	21	147
ASV246	0	0	117	114	0	0	135	71	0	0	0	0	0	0	0	0	0
ASV247	0	0	226	147	0	0	31	26	0	0	0	0	0	0	0	0	0
ASV248	0	0	32	55	243	0	56	37	0	0	0	0	0	0	0	0	0
ASV249	0	0	27	36	0	0	208	88	0	0	0	0	0	0	21	39	0
ASV250	0	0	0	3	0	0	261	153	0	0	0	0	0	0	0	0	0
ASV251	0	0	205	150	0	0	13	41	0	0	0	0	5	0	0	0	0
ASV252	0	0	0	0	0	0	0	0	0	0	69	340	0	0	0	0	0
ASV253	0	0	0	48	0	0	341	0	0	0	0	0	0	0	19	0	0
ASV254	0	0	51	56	0	0	99	169	0	0	0	0	0	0	31	0	0
ASV255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405
ASV257	0	0	144	35	0	0	77	145	0	0	0	0	0	0	0	0	0
ASV258	0	0	0	0	0	0	0	0	0	0	121	92	0	0	104	83	0
ASV259	0	0	91	0	0	0	82	118	0	0	0	7	0	0	0	26	74
ASV260	0	0	223	111	0	0	0	0	0	0	27	23	0	0	5	0	0
ASV261	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	374
ASV262	0	0	93	78	0	0	43	102	0	0	22	18	0	0	10	20	0
ASV263	0	0	11	10	0	0	104	251	0	0	0	0	0	0	0	0	8
ASV264	0	0	215	168	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV265	0	0	0	8	0	0	19	356	0	0	0	0	0	0	0	0	0
ASV266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381
ASV267	0	0	40	23	0	0	77	227	0	0	0	0	0	0	9	0	0
ASV268	0	0	0	0	0	0	112	264	0	0	0	0	0	0	0	0	0
ASV269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374
ASV270	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0
ASV271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366
ASV272	0	0	0	0	0	0	66	299	0	0	0	0	0	0	0	0	0
ASV273	0	0	0	0	0	0	151	212	0	0	0	0	0	0	0	0	0
ASV274	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	360
ASV275	0	0	54	38	0	0	181	0	0	0	0	0	0	0	0	0	85
ASV276	0	0	0	174	0	0	52	0	0	0	0	0	0	0	0	0	132
ASV277	0	0	92	24	0	0	92	147	0	0	0	0	0	0	0	0	0
ASV278	0	0	14	20	0	0	113	24	0	0	0	0	0	0	0	0	184
ASV280	0	0	0	41	0	0	205	68	0	0	0	0	0	0	0	0	39
ASV281	0	0	0	0	0	0	198	153	0	0	0	0	0	0	2	0	0
ASV282	0	0	31	48	0	0	246	0	0	0	0	0	0	0	0	0	24
ASV283	0	0	0	0	0	0	310	38	0	0	0	0	0	0	0	0	0
ASV284	0	0	13	302	0	0	18	14	0	0	0	0	0	0	0	0	0
ASV286	0	0	29	44	64	0	111	79	0	0	0	0	0	0	0	0	16
ASV287	0	0	0	0	0	0	154	189	0	0	0	0	0	0	0	0	0
ASV288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	332
ASV289	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0
ASV290	0	0	0	0	0	0	197	142	0	0	0	0	0	0	0	0	0
ASV291	0	0	24	19	0	0	22	45	0	0	0	0	0	2	166	59	0
ASV292	0	0	0	0	0	0	65	271	0	0	0	0	0	0	0	0	0
ASV293	0	0	177	145	0	0	12	0	0	0	0	0	0	0	0	0	0
ASV294	0	0	277	52	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV296	0	0	7	7	0	0	33	0	0	0	0	0	0	0	0	0	277
ASV297	0	0	28	0	0	0	104	190	0	0	0	0	0	0	0	0	0
ASV298	0	0	279	39	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV299	0	0	0	0	0	0	58	185	0	0	0	0	0	0	46	28	0
ASV300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312
ASV301	0	0	92	84	0	0	17	111	0	0	0	0	0	0	0	7	0
ASV302	0	0	0	0	0	0	289	21	0	0	0	0	0	0	0	0	0
ASV303	0	0	5	0	0	0	3	9	0	0	5	6	0	0	26	25	223
ASV304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295
ASV305	0	0	0	24	0	0	89	180	0	0	0	0	0	0	0	0	0
ASV306	0	0	17	0	0	0	0	0	0	0	0	0	0	0	30	16	226
ASV307	0	0	0	76	0	0	26	41	0	0	71	15	0	0	19	41	0
ASV308	0	0	0	19	0	0	81	156	0	0	0	0	0	0	20	13	0
ASV309	0	0	0	0	0	0	231	56	0	0	0	0	0	0	0	0	0
ASV310	0	0	15	17	0	0	129	26	0	0	0	0	0	0	0	0	99
ASV311	0	0	10	0	0	0	120	154	0	0	0	0	0	0	0	0	0
ASV312	0	0	43	63	0	0	96	79	0	0	0	0	0	0	0	0	0
ASV313	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV314	0	0	0	24	0	0	158	98	0	0	0	0	0	0	0	0	0
ASV315	0	0	0	0	0	0	161	100	0	0	0	0	0	0	16	3	0
ASV316	0	0	0	0	0	0	93	187	0	0	0	0	0	0	0	0	0
ASV317	0	0	0	7	0	0	84	44	0	0	0	0	0	0	0	0	144
ASV318	0	0	237	32	0	0	6	2	0	0	0	0	0	0	0	0	0
ASV319	0	0	0	0	0	0	118	156	0	0	0	0	0	0	0	0	0
ASV320	0	0	0	35	0	0	98	109	0	0	0	0	0	0	0	0	29
ASV321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271
ASV322	0	0	15	60	0	0	93	102	0	0	0	0	0	0	0	0	0
ASV323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270
ASV324	0	0	60	31	0	0	68	97	0	0	0	0	0	0	0	13	0
ASV325	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0
ASV326	0	0	106	0	0	0	79	78	0	0	0	0	0	0	0	0	0
ASV327	0	0	0	0	0	0	197	66	0	0	0	0	0	0	0	0	0
ASV328	0	0	253	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258
ASV330	0	0	0	0	0	0	132	125	0	0	0	0	0	0	0	0	0
ASV331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256
ASV332	0	0	0	0	0	0	88	165	0	0	0	0	0	0	0	0	0
ASV333	0	0	0	0	0	0	95	116	0	0	0	0	0	0	42	0	0
ASV334	0	0	19	25	0	0	83	123	0	0	0	0	0	0	0	0	0
ASV335	0	0	0	0	0	0	100	149	0	0	0	0	0	0	0	0	0
ASV336	0	0	0	0	0	0	42	207	0	0	0	0	0	0	0	0	0
ASV337	0	0	0	104	0	0	89	52	0	0	0	0	0	0	0	0	0
ASV338	0	0	148	78	0	0	13	5	0	0	0	0	0	0	0	0	0
ASV339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244
ASV340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243
ASV341	0	0	0	8	0	0	72	95	0	0	0	0	0	0	46	21	0
ASV342	0	0	65	175	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	238
ASV344	0	0	0	0	142	0	43	0	0	0	0	0	0	0	17	37	0
ASV345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239
ASV346	0	0	10	0	0	0	123	105	0	0	0	0	0	0	0	0	0
ASV347	0	0	56	0	0	0	95	85	0	0	0	0	0	0	0	0	0
ASV348	0	0	0	0	0	0	24	209	0	0	0	0	0	0	0	0	0
